COURSECODE,COURSENAME,COURSENAMEENG,CREDITMIN,CREDITMAX,CREDITTOTAL
320219,การโปรแกรมเชิงวัตถุ,OBJECT ORIENTED PROGRAMMING,3,3,3
320220,การสร้างโปรแกรมบนเว็บ,WEB PROGRAMMING,3,3,3
320221,การสร้างโปรแกรมภาษาจาวา,JAVA PROGRAMMING,3,3,3
320312,โครงสร้างข้อมูล,DATA STRUCTURES,3,3,3
320212,การเขียนโปรแกรมภาษาซี,PROGRAMMING IN C LANGUAGE,3,3,3
320317,การวิเคราะห์ขั้นตอนวิธี,ANALYSIS OF ALGORITHMS,3,3,3
320320,ระบบสารสนเทศภูมิศาสตรขั้นแนะนำ,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEM,3,3,3
320321,ทฤษฏีการคำนวณ,THEORY OF COMPUTATION,3,3,3
320322,การพัฒนาโปรแกรมประยุกต์แบบไคลเอนต์-เซิร์ฟเวอร์,CLIENT-SERVER APPLICATION DEVELOPMENT,3,3,3
320411,ระบบปฏิบัติการ,OPERATING SYSTEMS,3,3,3
320417,ปัญหาประดิษฐ์และระบบผู้เชี่ยวชาญ,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM,3,3,3
320421,ยูนิกซ์ขั้นพื้นฐาน,UNIX FUNDAMENTALS,3,3,3
320422,ภาษาคอมพิวเตอร์ยุคที่ 4,FOURTH GENERATION LANGUAGE FOR COMPUTER,3,3,3
320423,ระบบผู้เชี่ยวชาญ,EXPERT SYSTEMS,3,3,3
320424,การเชื่อมต่อเครือข่ายคอมพิวเตอร์,COMPUTER INTERNETWORKING,3,3,3
320425,ปฏิบัติการเครือข่ายและรบบปฏิบัติการ,NETWORKING AND OPERATING SYSTEMS LABORATORY,3,3,3
320491,สัมมนา,SEMINAR,1,1,1
320761,หลักการการรับรู้จากระยะไกล,PRINCIPLES OF REMOTE SENSING,3,3,3
320762,การประมวลผลภาพเชิงตัวเลข,DIGITAL  IMAGE  PROCESSING,3,3,3
320780,การประยุกต์ภาษาซีในระบบสารสนเทศภูมิศาสตร์,C  LANGUAGE  APPLICATION IN GIS,3,3,3
320891,สัมมนา 1,SEMINAR I,1,1,1
320892,สัมมนา 2,SEMINAR II,1,1,1
320899,วิทยานิพนธ์,THESIS,1,12,12
320494,โครงงานคอมพิวเตอร์,COMPUTER PROJECT,2,2,2
320102,การใช้คอมพิวเตอร์ในวิธีการทางวิทยาศาสตร์,COMPUTER USAGE IN SCIENTIFIC METHODS,3,3,3
320103,คอมพิวเตอร์เบื้องต้น,INTRODUCTION TO COMPUTER,3,3,3
320215,การเขียนโปรแกรมภาษาฟอร์แทรน,PROGRAMMING IN FORTRAN LANGUAGE,3,3,3
320419,การจัดการศูนย์คอมพิวเตอร์,COMPUTER CENTRE MANAGEMENT,3,3,3
320481,เรื่องในแขนงวิทยาการคอมพิวเตอร์,TOPICS IN COMPUTER SCIENCE,3,3,0
320211,การเขียนโปรแกรมแอสแซมบลี,ASSEMBLY LANGUAGE PROGRAMMING,3,3,3
320213,การเขียนโปรแกรมภาษาโคบอล,PROGRAMMING IN COBOL LANGUAGE,3,3,3
320320,ระบบสารสนเทศภูมิศาสตรขั้นแนะนำ,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEM,3,3,3
320219,การเขียนโปรแกรมเชิงวัตถุ,OBJECT- ORIENTED PROGRAMMING,3,3,3
320221,การสร้างโปรแกรมภาษาจาวา,JAVA PROGRAMMING,3,3,3
320321,ทฤษฏีการคำนวณ,THEORY OF COMPUTATION,3,3,3
320313,การประมวลผลแฟ้มข้อมูล,FILE PROCESSING,3,3,3
320323,การประมวลผลภาพทางการแพทย์,MEDICAL IMAGE PROCESSING,3,3,3
320416,ระบบสารสนเทศเพื่อการจัดการ,MANAGEMENT INFORMATION SYSTEM,3,3,3
322341,ปัญญาประดิษฐ์,ARTIFICIAL INTELLIGENCE,3,3,3
322352,การวิเคราะห์ขั้นตอนวิธี,ANALYSIS OF ALGORITHMS,3,3,3
322372,การวิเคราะห์และออกแบบระบบ,SYSTEMS ANALYSIS AND DESIGN,3,3,3
322421,ปฏิบัติการระบบข่ายงานและระบบปฏิบัติการ,NETWORKING AND OPERATING SYSTEMS LABORATORY,3,3,3
322721,ทฤษฎีการคำนวณ,THEORY OF COMPUTATION,3,3,3
322741,องค์การและสถาปัตยกรรมคอมพิวเตอร์,COMPUTER ARCHITECTURE AND ORGANIZATION,3,3,3
322726,ระบบแบบกระจาย,DISTRIBUTED SYSTEMS,3,3,3
322732,การพาณิชย์อิเล็กทรอนิกส์,ELECTRONIC COMMERCE,3,3,3
322744,การบริหารเครือข่ายคอมพิวเตอร์,COMPUTER NETWORK ADMINISTRATION,3,3,3
322753,การเรียนรู้เครื่อง,MACHINE LEARNING,3,3,3
322771,หัวเรื่องพิเศษทางวิทยาการคอมพิวเตอร์,SPECIAL TOPICS IN COMPUTER SCIENCE,3,3,3
322892,สัมมนาวิทยาการคอมพิวเตอร์ 2,COMPUTER SCIENCE SEMINAR II,3,3,1
322898,วิทยานิพนธ์,THESIS,1,44,44
322214,ขั้นตอนวิธีและโครงสร้างข้อมูล,ALGORITHM AND DATA STRUCTURES,3,3,4
322334,การพัฒนาการประยุกต์แบบรับ-ให้บริการ,CLIENT/SERVER APPLICATION DEVELOPMENT,3,3,3
322311,ทฤษฏีการคำนวณ,THEORY OF COMPUTATION,3,3,3
322232,ภูมิสารสนเทศขั้นแนะนำ,INTRODUCTION TO GEOINFORMATICS,3,3,3
322251,การเขียนโปรแกรมจาวา,PROGRAMMING IN JAVA,3,3,3
322472,การพัฒนาและการจัดการซอฟต์แวร์,SOFTWARE DEVELOPMENT AND MANAGEMANT,3,3,3
322495,โครงงานคอมพิวเตอร์ 2,COMPUTER PROJECT II,3,3,4
320316,การประยุกต์คอมพิวเตอร์ในธุรกิจ,COMPUTER APPLICATION IN BUSINESS,3,3,3
322103,คอมพิวเตอร์ขั้นแนะนำ,INTRODUCTION TO COMPUTER,3,3,3
322104,การเขียนโปรแกรมเชิงโครงสร้าง,STRUCTURED PROGRAMMING,3,3,3
322322,เครือข่ายคอมพิวเตอร์,COMPUTER NETWORKS,3,3,4
322748,ความมั่นคงเทคโนโลยีสารสนเทศ,INFORMATION TECHNOLOGY SECURITY,3,3,3
322743,เครื่อข่ายคอมพิวเตอร์ขั้นสูง,ADVANCED COMPUTER NETWORKS,3,3,3
322494,โครงงานคอมพิวเตอร์ 1,COMPUTER PROJECT I,3,3,2
322497,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 1,SPECIAL TOPIC IN COMPUTER SCIENCE I,3,3,3
322498,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 2,SPECIAL TOPIC IN COMPUTER SCIENCE II,3,3,3
322233,การจัดการแฟ้มข้อมูลและฐานข้อมูล,FILE AND DATABASE MANAGEMANT,3,3,4
322121,องค์ประกอบคอมพิวเตอร์และภาษาแอสเซมบลี,COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE,3,3,4
322211,ขั้นตอนวิธีและโครงสร้างข้อมูล,ALGORITHMS AND DATA STRUCTRES,3,3,4
320318,การค้นคืนสารสนเทศเบื้องต้น,INTRODUCTION TO INFORMATION RETRIEVAL,3,3,3
320412,การวิเคราะห์และการออกแบบระบบ,SYSTEMS ANALYSIS AND DESIGN,3,3,3
320414,วิศวกรรมซอฟต์แวร์,SOFTWARE ENGINEERING,3,3,3
322782,ปฏิบัติการทางเทคโนโลยีสารสนเทศ 1,INFORMATION TECHNOLOGY WORKSHOP I,3,3,1
322783,ปฏิบัติการทางเทคโนโลยีสารสนเทศ 2,INFORMATION TECHNOLOGY WORKSHOP II,3,3,1
320416,ระบบสารสนเทศเพื่อการจัดการ,MANAGEMENT INFORMATION SYSTEM,3,3,3
322111,การเขียนโปรแกรมขั้นแนะนำ,INTRODUCTION TO PROGRAMMING,3,3,4
322231,หลักการพัฒนาซอฟต์แวร์,PRINCIPLES OF SOFTWARE DEVELOPMENT,3,3,3
322234,การรับรู้ระยะไกลขั้นแนะนำ,INTRODUCTION TO REMOTE SENSING,3,3,3
322252,การเขียนโปรแกรมจาวาขั้นสูง,ADVANCED PROGRAMMING IN JAVA,3,3,3
